Open,High,Low,Close,Volume,Dividends,Stock Splits
51.0,51.099998474121094,50.900001525878906,50.900001525878906,0,0.0,0.0
50.900001525878906,51.0,50.900001525878906,51.0,147000,0.0,0.0
51.0,51.20000076293945,50.900001525878906,51.099998474121094,531000,0.0,0.0
51.099998474121094,51.20000076293945,51.099998474121094,51.099998474121094,161000,0.0,0.0
51.20000076293945,51.20000076293945,51.099998474121094,51.099998474121094,34000,0.0,0.0
51.099998474121094,51.20000076293945,51.0,51.099998474121094,303000,0.0,0.0
51.0,51.099998474121094,51.0,51.099998474121094,119000,0.0,0.0
51.099998474121094,51.099998474121094,51.0,51.099998474121094,98000,0.0,0.0
51.099998474121094,51.099998474121094,51.0,51.099998474121094,29000,0.0,0.0
51.099998474121094,51.099998474121094,51.0,51.099998474121094,42000,0.0,0.0
51.099998474121094,51.099998474121094,51.0,51.099998474121094,74411,0.0,0.0
51.099998474121094,51.20000076293945,51.099998474121094,51.20000076293945,204061,0.0,0.0
51.20000076293945,51.400001525878906,51.099998474121094,51.400001525878906,1405474,0.0,0.0
51.400001525878906,51.5,51.29999923706055,51.400001525878906,296528,0.0,0.0
51.400001525878906,51.5,51.400001525878906,51.5,161851,0.0,0.0
51.400001525878906,51.5,51.400001525878906,51.400001525878906,262043,0.0,0.0
51.400001525878906,51.5,51.400001525878906,51.400001525878906,86465,0.0,0.0
51.29999923706055,51.400001525878906,51.29999923706055,51.400001525878906,18000,0.0,0.0
51.400001525878906,51.400001525878906,51.29999923706055,51.400001525878906,10224,0.0,0.0
51.29999923706055,51.400001525878906,51.29999923706055,51.29999923706055,32000,0.0,0.0
51.29999923706055,51.29999923706055,51.29999923706055,51.29999923706055,65582,0.0,0.0
51.29999923706055,51.400001525878906,51.29999923706055,51.29999923706055,229128,0.0,0.0
51.29999923706055,51.400001525878906,51.29999923706055,51.29999923706055,116322,0.0,0.0
51.29999923706055,51.400001525878906,51.29999923706055,51.29999923706055,210102,0.0,0.0
51.29999923706055,51.400001525878906,51.29999923706055,51.29999923706055,50020,0.0,0.0
51.29999923706055,51.5,51.29999923706055,51.400001525878906,547053,0.0,0.0
51.5,51.5,51.400001525878906,51.400001525878906,83950,0.0,0.0
51.5,51.5,51.400001525878906,51.400001525878906,107059,0.0,0.0
51.5,51.5,51.400001525878906,51.400001525878906,59116,0.0,0.0
51.5,51.599998474121094,51.400001525878906,51.599998474121094,1313000,0.0,0.0
51.599998474121094,51.599998474121094,51.400001525878906,51.400001525878906,382010,0.0,0.0
51.5,51.5,51.29999923706055,51.29999923706055,90200,0.0,0.0
51.400001525878906,51.400001525878906,51.20000076293945,51.20000076293945,208050,0.0,0.0
51.29999923706055,51.29999923706055,51.099998474121094,51.099998474121094,104106,0.0,0.0
51.20000076293945,51.20000076293945,51.099998474121094,51.099998474121094,228205,0.0,0.0
51.099998474121094,51.29999923706055,51.099998474121094,51.099998474121094,48313,0.0,0.0
51.099998474121094,51.20000076293945,51.099998474121094,51.099998474121094,35083,0.0,0.0
51.099998474121094,51.20000076293945,51.099998474121094,51.099998474121094,69100,0.0,0.0
51.20000076293945,51.20000076293945,51.099998474121094,51.099998474121094,26420,0.0,0.0
51.20000076293945,51.20000076293945,51.099998474121094,51.099998474121094,48255,0.0,0.0
51.20000076293945,51.20000076293945,51.099998474121094,51.099998474121094,39039,0.0,0.0
51.20000076293945,51.20000076293945,51.099998474121094,51.099998474121094,204647,0.0,0.0
51.20000076293945,51.20000076293945,51.099998474121094,51.099998474121094,36065,0.0,0.0
51.099998474121094,51.20000076293945,51.099998474121094,51.099998474121094,63030,0.0,0.0
51.20000076293945,51.20000076293945,51.099998474121094,51.099998474121094,66001,0.0,0.0
51.099998474121094,51.20000076293945,51.099998474121094,51.099998474121094,42410,0.0,0.0
51.20000076293945,51.20000076293945,51.099998474121094,51.099998474121094,32436,0.0,0.0
51.20000076293945,51.20000076293945,51.099998474121094,51.099998474121094,46100,0.0,0.0
51.20000076293945,51.20000076293945,51.099998474121094,51.099998474121094,64029,0.0,0.0
51.20000076293945,51.20000076293945,51.0,51.0,191110,0.0,0.0
51.099998474121094,51.099998474121094,51.0,51.0,67854,0.0,0.0
51.099998474121094,51.099998474121094,51.0,51.0,112000,0.0,0.0
51.099998474121094,51.099998474121094,51.0,51.0,102100,0.0,0.0
51.099998474121094,51.099998474121094,50.900001525878906,50.900001525878906,283829,0.0,0.0
51.0,51.0,50.900001525878906,50.900001525878906,225979,0.0,0.0
50.900001525878906,51.0,50.900001525878906,50.900001525878906,36000,0.0,0.0
51.0,51.0,50.900001525878906,50.900001525878906,96100,0.0,0.0
51.0,51.0,50.900001525878906,50.900001525878906,39163,0.0,0.0
51.0,51.0,50.900001525878906,50.900001525878906,42001,0.0,0.0
51.0,51.0,50.900001525878906,50.900001525878906,36520,0.0,0.0
51.0,51.0,50.900001525878906,50.900001525878906,52260,0.0,0.0
51.0,51.0,50.900001525878906,50.900001525878906,87529,0.0,0.0
51.0,51.0,50.79999923706055,50.79999923706055,224000,0.0,0.0
50.79999923706055,50.900001525878906,50.79999923706055,50.79999923706055,63506,0.0,0.0
50.900001525878906,50.900001525878906,50.79999923706055,50.900001525878906,63220,0.0,0.0
50.79999923706055,50.900001525878906,50.79999923706055,50.79999923706055,76199,0.0,0.0
50.79999923706055,50.900001525878906,50.79999923706055,50.79999923706055,71250,0.0,0.0
50.79999923706055,50.900001525878906,50.79999923706055,50.79999923706055,142057,0.0,0.0
50.79999923706055,50.900001525878906,50.79999923706055,50.79999923706055,60150,0.0,0.0
